u,v,key,osmid,bridge,highway,lanes,name,oneway,reversed,length,width,ref,service,access,tunnel,junction,maxspeed,landuse,geometry
314655484,314655487,0,895234952,,footway,,,False,False,4.200619218699973,,,,,,,,,"LINESTRING (104.1044542 30.7141998, 104.104476 30.714167)"
314655484,314655483,0,895234952,,footway,,,False,True,5.125040057025183,,,,,,,,,"LINESTRING (104.1044542 30.7141998, 104.1044052 30.7142185)"
314655487,314655493,0,895234952,,footway,,,False,False,8.877831545945975,,,,,,,,,"LINESTRING (104.104476 30.714167, 104.1044815 30.7140873)"
314655487,314655484,0,895234952,,footway,,,False,True,4.200619218699973,,,,,,,,,"LINESTRING (104.104476 30.714167, 104.1044542 30.7141998)"
314655493,314655496,0,895234952,,footway,,,False,False,9.442535740292012,,,,,,,,,"LINESTRING (104.1044815 30.7140873, 104.1044924 30.7140029)"
314655493,314655487,0,895234952,,footway,,,False,True,8.877831545945975,,,,,,,,,"LINESTRING (104.1044815 30.7140873, 104.104476 30.714167)"
314655496,314655498,0,895234952,,footway,,,False,False,9.117994482983638,,,,,,,,,"LINESTRING (104.1044924 30.7140029, 104.1045415 30.7139326)"
314655496,314655493,0,895234952,,footway,,,False,True,9.442535740292012,,,,,,,,,"LINESTRING (104.1044924 30.7140029, 104.1044815 30.7140873)"
314655498,314655499,0,895234952,,footway,,,False,False,6.7960962986117055,,,,,,,,,"LINESTRING (104.1045415 30.7139326, 104.1045796 30.713881)"
314655498,314655496,0,895234952,,footway,,,False,True,9.117994482983638,,,,,,,,,"LINESTRING (104.1045415 30.7139326, 104.1044924 30.7140029)"
314655499,314655500,0,895234952,,footway,,,False,False,5.638720360017921,,,,,,,,,"LINESTRING (104.1045796 30.713881, 104.1046287 30.7138529)"
314655499,314655498,0,895234952,,footway,,,False,True,6.7960962986117055,,,,,,,,,"LINESTRING (104.1045796 30.713881, 104.1045415 30.7139326)"
314655500,314655501,0,895234952,,footway,,,False,False,5.943355308503651,,,,,,,,,"LINESTRING (104.1046287 30.7138529, 104.1046887 30.7138389)"
314655500,314655499,0,895234952,,footway,,,False,True,5.638720360017921,,,,,,,,,"LINESTRING (104.1046287 30.7138529, 104.1045796 30.713881)"
314655501,314655502,0,895234952,,footway,,,False,False,4.297116707448278,,,,,,,,,"LINESTRING (104.1046887 30.7138389, 104.1047323 30.7138295)"
314655501,314655500,0,895234952,,footway,,,False,True,5.943355308503651,,,,,,,,,"LINESTRING (104.1046887 30.7138389, 104.1046287 30.7138529)"
314655502,314655503,0,895234952,,footway,,,False,False,3.760611697882487,,,,,,,,,"LINESTRING (104.1047323 30.7138295, 104.104765 30.7138107)"
314655502,314655501,0,895234952,,footway,,,False,True,4.297116707448278,,,,,,,,,"LINESTRING (104.1047323 30.7138295, 104.1046887 30.7138389)"
314655503,314655504,0,895234952,,footway,,,False,False,3.7931323777196786,,,,,,,,,"LINESTRING (104.104765 30.7138107, 104.1047759 30.7137779)"
314655503,314655502,0,895234952,,footway,,,False,True,3.760611697882487,,,,,,,,,"LINESTRING (104.104765 30.7138107, 104.1047323 30.7138295)"
314655504,314655505,0,895234952,,footway,,,False,False,9.514919757560666,,,,,,,,,"LINESTRING (104.1047759 30.7137779, 104.1047923 30.7136935)"
314655504,314655503,0,895234952,,footway,,,False,True,3.7931323777196786,,,,,,,,,"LINESTRING (104.1047759 30.7137779, 104.104765 30.7138107)"
