osmid,y,x,street_count,highway,railway,ref,geometry
8021419399,30.7394509,104.073214,2,,,,POINT (104.073214 30.7394509)
8032687404,30.6640472,104.0925676,3,,,,POINT (104.0925676 30.6640472)
8032687406,30.6642072,104.0927162,2,,,,POINT (104.0927162 30.6642072)
8032687407,30.6637549,104.0923624,2,,,,POINT (104.0923624 30.6637549)
8032687408,30.6627901,104.0917678,4,,,,POINT (104.0917678 30.6627901)
8032687409,30.6626483,104.0917499,5,,,,POINT (104.0917499 30.6626483)
8032687410,30.6647939,104.0935908,4,,,,POINT (104.0935908 30.6647939)
8032687411,30.6646316,104.0933045,4,,,,POINT (104.0933045 30.6646316)
8032687413,30.6640531,104.1052958,2,,,,POINT (104.1052958 30.6640531)
8032687416,30.6659004,104.1075098,2,,,,POINT (104.1075098 30.6659004)
8032687417,30.6975795,104.0637828,2,,,,POINT (104.0637828 30.6975795)
8032687418,30.6973426,104.0635705,2,,,,POINT (104.0635705 30.6973426)
8041362089,30.7246846,104.0520684,2,,,,POINT (104.0520684 30.7246846)
8041362090,30.7240663,104.0525313,2,,,,POINT (104.0525313 30.7240663)
8041362091,30.7238209,104.0526562,2,,,,POINT (104.0526562 30.7238209)
8041362092,30.7234963,104.052731,2,,,,POINT (104.052731 30.7234963)
8041362093,30.7229162,104.0532067,2,,,,POINT (104.0532067 30.7229162)
8041362094,30.7227205,104.0532758,2,,,,POINT (104.0532758 30.7227205)
8041362095,30.7225712,104.0532909,3,,,,POINT (104.0532909 30.7225712)
8042162100,30.6514748,104.1230998,2,,,,POINT (104.1230998 30.6514748)
8042162101,30.6468654,104.1229038,2,,,,POINT (104.1229038 30.6468654)
8042384379,30.6775862,104.1003998,2,,,,POINT (104.1003998 30.6775862)
8044256997,30.6689069,104.0912945,2,,,,POINT (104.0912945 30.6689069)
8044257016,30.6696642,104.0922102,3,,,,POINT (104.0922102 30.6696642)
8044257017,30.669442,104.0924473,2,,,,POINT (104.0924473 30.669442)
8044257018,30.6693324,104.0925712,2,,,,POINT (104.0925712 30.6693324)
8044257019,30.6692441,104.0926986,2,,,,POINT (104.0926986 30.6692441)
8044257020,30.6692106,104.0928083,2,,,,POINT (104.0928083 30.6692106)
8044257021,30.6691893,104.0929605,2,,,,POINT (104.0929605 30.6691893)
8044257022,30.6691954,104.0931587,2,,,,POINT (104.0931587 30.6691954)
8044257023,30.669235,104.0932401,2,,,,POINT (104.0932401 30.669235)
8044257024,30.6693902,104.0934312,2,,,,POINT (104.0934312 30.6693902)
8044257025,30.6694268,104.0935055,2,,,,POINT (104.0935055 30.6694268)
8044257026,30.6694146,104.093594,2,,,,POINT (104.093594 30.6694146)
8044257027,30.6693568,104.0938595,2,,,,POINT (104.0938595 30.6693568)
8044257028,30.6693659,104.093955,2,,,,POINT (104.093955 30.6693659)
8044257029,30.6695029,104.0943549,2,,,,POINT (104.0943549 30.6695029)
8044257030,30.6698743,104.0919872,2,,,,POINT (104.0919872 30.6698743)
8044257031,30.6700204,104.0918103,2,,,,POINT (104.0918103 30.6700204)
8044257032,30.6701117,104.0917218,2,,,,POINT (104.0917218 30.6701117)
8044257033,30.6702913,104.0916085,2,,,,POINT (104.0916085 30.6702913)
8044257034,30.6703857,104.0915767,2,,,,POINT (104.0915767 30.6703857)
8044257035,30.6705835,104.0915767,2,,,,POINT (104.0915767 30.6705835)
